title,price,availability,rating,title_length,availability_binary,price_category,series_book
Will You Won't You Want Me?,13.86,In stock,3,27,1,low,0
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,In stock,1,61,1,midium,0
The Star-Touched Queen,32.3,In stock,5,22,1,midium,0
The Silent Sister (Riley MacPherson #1),46.29,In stock,5,39,1,high,1
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,In stock,1,62,1,midium,0
The Lonely City: Adventures in the Art of Being Alone,33.26,In stock,2,53,1,midium,0
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,In stock,4,73,1,high,0
The Golden Condom: And Other Essays on Love Lost and Found,39.43,In stock,1,58,1,midium,0
The Epidemic (The Program 0.6),14.44,In stock,5,30,1,low,0
The Dinner Party,56.54,In stock,2,16,1,high,1
The Diary of a Young Girl,59.9,In stock,3,25,1,high,0
The Children,11.88,In stock,3,12,1,low,0
Stars Above (The Lunar Chronicles #4.5),48.05,In stock,2,39,1,high,1
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,In stock,3,95,1,midium,0
Raspberry Pi Electronics Projects for the Evil Genius,49.67,In stock,4,53,1,high,0
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,In stock,1,67,1,high,0
Psycho: Sanitarium (Psycho #1.5),36.97,In stock,5,32,1,midium,1
Poisonous (Max Revere Novels #3),26.8,In stock,3,32,1,midium,1
One with You (Crossfire #5),15.71,In stock,4,27,1,low,1
No Love Allowed (Dodge Cove #1),54.65,In stock,4,31,1,high,1
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,In stock,4,53,1,high,1
Most Wanted,35.28,In stock,3,11,1,midium,0
"Love, Lies and Spies",20.55,In stock,2,20,1,midium,0
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,In stock,5,54,1,high,0
Hide Away (Eve Duncan #20),11.84,In stock,1,26,1,low,1
Furiously Happy: A Funny Book About Horrible Things,41.46,In stock,4,51,1,high,1
Everyday Italian: 125 Simple and Delicious Recipes,20.1,In stock,5,50,1,midium,0
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,In stock,1,68,1,high,0
Eleanor & Park,56.51,In stock,5,14,1,high,0
Dirty (Dive Bar #1),40.83,In stock,4,19,1,high,1
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,In stock,1,48,1,high,1
Boar Island (Anna Pigeon #19),59.48,In stock,3,29,1,high,1
A Paris Apartment,39.01,In stock,4,17,1,midium,1
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,In stock,1,131,1,midium,0
Troublemaker: Surviving Hollywood and Scientology,48.39,In stock,2,49,1,high,0
The Widow,27.26,In stock,2,9,1,midium,0
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,In stock,4,65,1,low,0
The Improbability of Love,59.45,In stock,1,25,1,high,0
The Art of Startup Fundraising,21.0,In stock,3,30,1,midium,0
Take Me Home Tonight (Rock Star Romance #3),53.98,In stock,3,43,1,high,1
Sleeping Giants (Themis Files #1),48.74,In stock,1,33,1,high,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,In stock,2,80,1,midium,0
Playing with Fire,13.71,In stock,3,17,1,low,0
Off the Hook (Fishing for Trouble #1),47.67,In stock,3,37,1,high,1
Mothering Sunday,13.34,In stock,2,16,1,low,0
"Mother, Can You Not?",16.89,In stock,5,20,1,low,0
M Train,27.18,In stock,1,7,1,midium,0
Lilac Girls,17.28,In stock,2,11,1,low,0
Lies and Other Acts of Love,45.14,In stock,1,27,1,high,0
Lab Girl,40.85,In stock,1,8,1,high,0
Keep Me Posted,20.46,In stock,4,14,1,midium,0
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,In stock,3,96,1,high,0
Grey (Fifty Shades #4),48.49,In stock,4,22,1,high,1
"Exit, Pursued by a Bear",51.34,In stock,4,23,1,high,0
Daredevils,16.34,In stock,3,10,1,low,0
Cravings: Recipes for What You Want to Eat,20.5,In stock,3,42,1,midium,0
Born for This: How to Find the Work You Were Meant to Do,21.59,In stock,5,56,1,midium,0
Arena,21.36,In stock,4,5,1,midium,0
Adultery,20.88,In stock,5,8,1,midium,0
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,In stock,3,56,1,low,0
A Gentleman's Position (Society of Gentlemen #3),14.75,In stock,5,48,1,low,1
11/22/63,48.48,In stock,3,8,1,high,0
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,In stock,2,125,1,midium,0
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,In stock,5,63,1,high,0
Without Shame,48.27,In stock,5,13,1,high,0
Watchmen,58.05,In stock,4,8,1,high,0
Unlimited Intuition Now,58.87,In stock,4,23,1,high,0
Underlying Notes,11.82,In stock,2,16,1,low,0
The Shack,28.03,In stock,1,9,1,midium,0
The New Brand You: Your New Image Makes the Sale for You,44.05,In stock,5,56,1,high,0
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,In stock,4,75,1,low,1
The Flowers Lied,16.68,In stock,2,16,1,low,0
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,In stock,1,65,1,high,0
The Book of Mormon,24.57,In stock,3,18,1,midium,1
The Art and Science of Low Carbohydrate Living,52.98,In stock,5,46,1,high,0
The Alien Club,54.4,In stock,1,14,1,high,0
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,In stock,5,58,1,high,0
Nap-a-Roo,25.08,In stock,1,9,1,midium,0
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,In stock,4,133,1,low,1
Modern Day Fables,47.44,In stock,2,17,1,high,0
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,In stock,1,75,1,midium,0
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,In stock,4,40,1,midium,1
Dress Your Family in Corduroy and Denim,43.68,In stock,3,39,1,high,0
Don't Forget Steven,33.23,In stock,1,19,1,midium,0
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,In stock,2,83,1,midium,0
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,In stock,4,67,1,high,0
A Shard of Ice (The Black Symphony Saga #1),56.63,In stock,3,43,1,high,1
A Hero's Curse (The Unseen Chronicles #1),50.49,In stock,3,41,1,high,1
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,In stock,2,56,1,midium,0
"Zero to One: Notes on Startups, or How to Build the Future",34.06,In stock,3,58,1,midium,0
Why Not Me?,17.76,In stock,1,11,1,low,0
When Breath Becomes Air,39.36,In stock,2,23,1,midium,0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,In stock,2,67,1,midium,0
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,In stock,5,53,1,high,1
The New Drawing on the Right Side of the Brain,43.02,In stock,3,46,1,high,0
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,In stock,4,85,1,midium,0
The Martian (The Martian #1),41.39,In stock,2,28,1,high,1
The High Mountains of Portugal,51.15,In stock,1,30,1,high,0
The Grownup,35.88,In stock,1,11,1,midium,0
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,In stock,1,82,1,midium,0
South of Sunshine,28.93,In stock,1,17,1,midium,0
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,In stock,5,75,1,midium,0
Silence in the Dark (Logan Point #4),58.33,In stock,3,36,1,high,1
Shadows of the Past (Logan Point #1),39.67,In stock,5,36,1,midium,1
Roller Girl,14.1,In stock,5,11,1,low,0
Rising Strong,21.82,In stock,3,13,1,midium,0
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,In stock,1,59,1,high,0
Please Kill Me: The Uncensored Oral History of Punk,31.19,In stock,4,51,1,midium,0
Out of Print: City Lights Spotlight No. 14,53.64,In stock,5,42,1,high,1
My Life Next Door (My Life Next Door ),36.39,In stock,5,38,1,midium,0
Miller's Valley,58.54,In stock,2,15,1,high,0
Man's Search for Meaning,29.48,In stock,3,24,1,midium,0
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,In stock,2,104,1,midium,0
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,In stock,3,72,1,low,0
Les Fleurs du Mal,29.04,In stock,5,17,1,midium,0
Left Behind (Left Behind #1),40.72,In stock,2,28,1,high,1
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,In stock,5,67,1,high,0
Kierkegaard: A Christian Missionary to Christians,47.13,In stock,1,49,1,high,0
John Vassos: Industrial Design for Modern Life,20.22,In stock,4,46,1,midium,0
I'll Give You the Sun,56.48,In stock,1,21,1,high,0
I Will Find You,44.21,In stock,1,15,1,high,0
Hystopia: A Novel,21.96,In stock,4,17,1,midium,0
Howl and Other Poems,40.45,In stock,2,20,1,high,0
History of Beauty,10.29,In stock,4,17,1,low,0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,In stock,2,82,1,high,0
Future Shock (Future Shock #1),55.65,In stock,5,30,1,high,1
Ender's Game (The Ender Quintet #1),43.64,In stock,1,35,1,high,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,In stock,1,92,1,midium,0
Death by Leisure: A Cautionary Tale,37.51,In stock,4,35,1,midium,0
Brilliant Beacons: A History of the American Lighthouse,11.45,In stock,3,55,1,low,0
Brazen: The Courage to Find the You That's Been Hiding,19.22,In stock,2,54,1,low,0
Between the World and Me,56.91,In stock,4,24,1,high,0
Being Mortal: Medicine and What Matters in the End,55.06,In stock,4,50,1,high,0
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,In stock,3,50,1,low,0
32 Yolks,53.63,In stock,2,8,1,high,0
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,In stock,5,84,1,high,0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,In stock,3,86,1,low,0
Wildlife of New York: A Five-Borough Coloring Book,22.14,In stock,2,50,1,midium,1
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,In stock,5,65,1,midium,1
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,In stock,2,75,1,high,0
Under the Tuscan Sun,37.33,In stock,3,20,1,midium,0
Toddlers Are A**holes: It's Not Your Fault,25.55,In stock,1,42,1,midium,0
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,In stock,1,98,1,midium,0
The Whale,35.96,In stock,4,9,1,midium,0
The Story of Art,41.14,In stock,4,16,1,high,0
The Origin of Species,10.01,In stock,4,21,1,low,0
The Great Gatsby,36.05,In stock,4,16,1,midium,0
The Good Girl,49.03,In stock,3,13,1,high,0
The Glass Castle,16.24,In stock,1,16,1,low,0
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,In stock,1,90,1,midium,0
The Drowning Girls,35.67,In stock,3,18,1,midium,0
The Constant Princess (The Tudor Court #1),16.62,In stock,3,42,1,low,1
The Bourne Identity (Jason Bourne #1),42.78,In stock,4,37,1,high,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,In stock,5,72,1,high,1
The Art Book,32.34,In stock,2,12,1,midium,1
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,In stock,4,76,1,midium,0
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,In stock,5,55,1,midium,0
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,In stock,2,68,1,midium,0
"Sit, Stay, Love",20.9,In stock,3,15,1,midium,0
Sister Dear,40.2,In stock,4,11,1,high,0
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,In stock,3,62,1,high,0
"Rich Dad, Poor Dad",51.74,In stock,1,18,1,high,0
Raymie Nightingale,34.41,In stock,2,18,1,midium,0
Playing from the Heart,32.38,In stock,1,22,1,midium,0
Nightstruck: A Novel,50.35,In stock,4,20,1,high,0
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,In stock,5,87,1,low,0
Meternity,43.58,In stock,3,9,1,high,0
Memoirs of a Geisha,49.67,In stock,3,19,1,high,0
Like Never Before (Walker Family #2),28.77,In stock,2,36,1,midium,1
Life of Pi,13.22,In stock,4,10,1,low,0
Leave This Song Behind: Teen Poetry at Its Best,51.17,In stock,5,47,1,high,0
King's Folly (The Kinsman Chronicles #1),39.61,In stock,5,40,1,midium,1
John Adams,57.43,In stock,4,10,1,high,0
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,In stock,4,98,1,high,0
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,In stock,2,67,1,midium,0
Good in Bed (Cannie Shapiro #1),37.05,In stock,5,31,1,midium,1
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,In stock,1,40,1,low,1
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,In stock,3,67,1,high,0
Finding God in the Ruins: How God Redeems Pain,46.64,In stock,2,46,1,high,0
Every Heart a Doorway (Every Heart A Doorway #1),12.16,In stock,5,48,1,low,1
Delivering the Truth (Quaker Midwife Mystery #1),20.89,In stock,4,48,1,midium,1
Counted With the Stars (Out from Egypt #1),17.97,In stock,5,42,1,low,1
"Chronicles, Vol. 1",52.6,In stock,2,18,1,high,1
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,In stock,1,63,1,midium,0
Benjamin Franklin: An American Life,48.19,In stock,3,35,1,high,0
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,In stock,5,205,1,midium,0
A Summer In Europe,44.34,In stock,2,18,1,high,0
A Short History of Nearly Everything,52.4,In stock,5,36,1,high,0
A Gathering of Shadows (Shades of Magic #2),44.81,In stock,4,43,1,high,1
The Sound Of Love,57.84,In stock,5,17,1,high,0
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,In stock,2,63,1,midium,0
The Perks of Being a Wallflower,55.02,In stock,3,31,1,high,0
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,In stock,4,51,1,midium,1
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,In stock,4,63,1,high,0
The Makings of a Fatherless Child,31.58,In stock,2,33,1,midium,0
The Joy of Cooking,43.27,In stock,4,18,1,high,0
The Invention of Wings,37.34,In stock,1,22,1,midium,0
The Hobbit (Middle-Earth Universe),17.8,In stock,5,34,1,low,0
The Great Railway Bazaar,30.54,In stock,1,24,1,midium,0
The Golden Compass (His Dark Materials #1),18.77,In stock,1,42,1,low,1
The God Delusion,46.85,In stock,3,16,1,high,0
The Girl You Left Behind (The Girl You Left Behind #1),15.79,In stock,1,54,1,low,1
The Fellowship of the Ring (The Lord of the Rings #1),10.27,In stock,2,53,1,low,1
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,In stock,5,72,1,low,1
The Barefoot Contessa Cookbook,59.92,In stock,5,30,1,high,1
Tell the Wolves I'm Home,50.96,In stock,2,24,1,high,0
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,In stock,3,63,1,midium,0
Pride and Prejudice,19.27,In stock,4,19,1,low,0
Musicophilia: Tales of Music and the Brain,46.58,In stock,1,42,1,high,0
Mere Christianity,48.51,In stock,3,17,1,high,0
Me Before You (Me Before You #1),19.02,In stock,1,32,1,low,1
In the Woods (Dublin Murder Squad #1),38.38,In stock,2,37,1,midium,1
In Cold Blood,49.98,In stock,4,13,1,high,0
How to Stop Worrying and Start Living,46.49,In stock,5,37,1,high,0
Give It Back,18.32,In stock,2,12,1,low,0
"Girl, Interrupted",42.14,In stock,3,17,1,high,0
Fun Home: A Family Tragicomic,56.59,In stock,4,29,1,high,0
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,In stock,4,40,1,midium,1
Deception Point,40.32,In stock,4,15,1,high,0
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,In stock,3,49,1,midium,1
Catherine the Great: Portrait of a Woman,58.55,In stock,4,40,1,high,0
Better Homes and Gardens New Cook Book,39.61,In stock,3,38,1,midium,1
An Unquiet Mind: A Memoir of Moods and Madness,21.3,In stock,3,46,1,midium,0
A Year in Provence (Provence #1),56.88,In stock,4,32,1,high,1
World Without End (The Pillars of the Earth #2),32.97,In stock,4,47,1,midium,1
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,In stock,4,55,1,high,0
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,In stock,2,76,1,high,0
Where She Went (If I Stay #2),41.73,In stock,4,29,1,high,1
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,In stock,4,69,1,high,0
Two Summers,14.64,In stock,1,11,1,low,0
This Is Your Brain on Music: The Science of a Human Obsession,38.4,In stock,1,61,1,midium,0
The Secret Garden,15.08,In stock,4,17,1,low,0
The Raven King (The Raven Cycle #4),30.57,In stock,2,35,1,midium,1
The Raven Boys (The Raven Cycle #1),57.74,In stock,4,35,1,high,1
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,In stock,5,58,1,low,1
The Metamorphosis,28.58,In stock,1,17,1,midium,0
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,In stock,5,68,1,high,0
The Little Paris Bookshop,24.73,In stock,3,25,1,midium,1
The Hiding Place,55.91,In stock,4,16,1,high,0
The Grand Design,13.76,In stock,3,16,1,low,0
The Firm,45.56,In stock,3,8,1,high,0
The Fault in Our Stars,47.22,In stock,1,22,1,high,0
The False Prince (The Ascendance Trilogy #1),56.0,In stock,5,44,1,high,1
The Expatriates,44.58,In stock,2,15,1,high,0
The Dream Thieves (The Raven Cycle #2),34.5,In stock,1,38,1,midium,1
The Darkest Corners,11.33,In stock,5,19,1,low,0
The Crossover,38.77,In stock,4,13,1,midium,0
The 5th Wave (The 5th Wave #1),11.83,In stock,2,30,1,low,1
Tell the Wind and Fire,45.51,In stock,3,22,1,high,0
Tell Me Three Things,41.81,In stock,1,20,1,high,0
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,In stock,4,92,1,midium,0
Siddhartha,34.22,In stock,5,10,1,midium,0
Shiver (The Wolves of Mercy Falls #1),16.23,In stock,5,37,1,low,1
Remember Me?,11.48,In stock,3,12,1,low,0
Red Dragon (Hannibal Lecter #1),23.37,In stock,3,31,1,midium,1
Peak: Secrets from the New Science of Expertise,16.28,In stock,2,47,1,low,0
My Mother Was Nuts,31.63,In stock,4,18,1,midium,0
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,In stock,5,69,1,midium,0
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,In stock,1,61,1,midium,0
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,In stock,4,56,1,midium,1
Logan Kade (Fallen Crest High #5.5),13.12,In stock,2,35,1,low,1
Last One Home (New Beginnings #1),59.98,In stock,3,33,1,high,1
Killing Floor (Jack Reacher #1),31.49,In stock,4,31,1,midium,1
Kill the Boy Band,15.52,In stock,5,17,1,low,0
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,In stock,5,61,1,high,1
If I Stay (If I Stay #1),38.13,In stock,5,24,1,midium,1
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,In stock,2,65,1,midium,1
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,In stock,1,54,1,midium,1
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,In stock,1,40,1,low,1
Foundation (Foundation (Publication Order) #1),32.42,In stock,1,46,1,midium,1
Fool Me Once,16.96,In stock,1,12,1,low,0
Find Her (Detective D.D. Warren #8),22.37,In stock,1,35,1,midium,1
Evicted: Poverty and Profit in the American City,42.27,In stock,1,48,1,high,0
Drama,38.7,In stock,2,5,1,midium,0
Dracula the Un-Dead,35.63,In stock,5,19,1,midium,0
Digital Fortress,58.0,In stock,5,16,1,high,0
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,In stock,1,44,1,high,1
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,In stock,3,62,1,midium,0
Critique of Pure Reason,20.75,In stock,1,23,1,midium,0
Booked,17.49,In stock,5,6,1,low,1
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,In stock,5,41,1,midium,1
Approval Junkie: Adventures in Caring Too Much,58.81,In stock,5,46,1,high,0
An Abundance of Katherines,10.0,In stock,5,26,1,low,0
America's War for the Greater Middle East: A Military History,51.22,In stock,2,61,1,high,0
Alight (The Generations Trilogy #2),58.59,In stock,4,35,1,high,1
A Girl's Guide to Moving On (New Beginnings #2),31.3,In stock,1,47,1,midium,1
A Game of Thrones (A Song of Ice and Fire #1),46.42,In stock,2,45,1,high,1
A Feast for Crows (A Song of Ice and Fire #4),17.21,In stock,4,45,1,low,1
A Clash of Kings (A Song of Ice and Fire #2),10.79,In stock,3,44,1,low,1
Vogue Colors A to Z: A Fashion Coloring Book,52.35,In stock,4,44,1,high,1
The Shining (The Shining #1),27.88,In stock,3,28,1,midium,1
The Pilgrim's Progress,50.26,In stock,2,22,1,high,0
The Perfect Play (Play by Play #1),59.99,In stock,3,34,1,high,1
The Passion of Dolssa,28.32,In stock,5,21,1,midium,0
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,In stock,3,84,1,midium,0
The Hunger Games (The Hunger Games #1),29.85,In stock,5,38,1,midium,1
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,In stock,2,50,1,low,1
The Gunning of America: Business and the Making of American Gun Culture,16.81,In stock,4,71,1,low,0
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,In stock,2,79,1,midium,0
The Demonists (Demonist #1),52.11,In stock,2,27,1,high,1
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,In stock,2,80,1,midium,1
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,In stock,3,52,1,high,1
The Beast (Black Dagger Brotherhood #14),46.08,In stock,5,40,1,high,1
Some Women,13.73,In stock,5,10,1,low,0
Shopaholic Ties the Knot (Shopaholic #3),48.39,In stock,5,40,1,high,1
Paper and Fire (The Great Library #2),49.45,In stock,5,37,1,high,1
Outlander (Outlander #1),19.67,In stock,5,24,1,low,1
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,In stock,3,131,1,low,0
No One Here Gets Out Alive,20.02,In stock,5,26,1,midium,0
Night Shift (Night Shift #1-20),12.75,In stock,4,31,1,low,1
Needful Things,47.51,In stock,4,14,1,high,0
Mockingjay (The Hunger Games #3),20.44,In stock,4,32,1,midium,1
Misery,34.79,In stock,2,6,1,midium,0
Little Women (Little Women #1),28.07,In stock,4,30,1,midium,1
It,25.01,In stock,3,2,1,midium,0
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,In stock,3,55,1,low,1
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,In stock,4,58,1,midium,1
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,In stock,4,59,1,midium,1
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,In stock,5,56,1,high,1
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,In stock,1,57,1,low,1
Gone with the Wind,32.49,In stock,3,18,1,midium,0
God Is Not Great: How Religion Poisons Everything,27.8,In stock,1,49,1,midium,0
Girl With a Pearl Earring,26.77,In stock,1,25,1,midium,0
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,In stock,4,40,1,high,1
Far From True (Promise Falls Trilogy #2),34.93,In stock,2,40,1,midium,1
Dark Lover (Black Dagger Brotherhood #1),12.87,In stock,1,40,1,low,1
Confessions of a Shopaholic (Shopaholic #1),48.94,In stock,2,43,1,high,1
Changing the Game (Play by Play #2),13.38,In stock,3,35,1,low,1
Candide,58.63,In stock,3,7,1,high,0
Can You Keep a Secret?,21.94,In stock,1,22,1,midium,0
Atlas Shrugged,26.58,In stock,5,14,1,midium,0
Animal Farm,57.22,In stock,3,11,1,high,0
A Walk to Remember,56.43,In stock,1,18,1,high,0
A New Earth: Awakening to Your Life's Purpose,55.65,In stock,5,45,1,high,0
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,In stock,1,74,1,midium,0
'Salem's Lot,49.56,In stock,4,12,1,high,0
Zero History (Blue Ant #3),34.77,In stock,1,26,1,midium,1
Wuthering Heights,17.73,In stock,3,17,1,low,0
World War Z: An Oral History of the Zombie War,21.8,In stock,1,46,1,midium,0
Wild: From Lost to Found on the Pacific Crest Trail,46.02,In stock,3,51,1,high,0
"Where'd You Go, Bernadette",18.13,In stock,1,26,1,low,0
When You Are Engulfed in Flames,30.89,In stock,5,31,1,midium,0
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,In stock,3,108,1,midium,0
We Are All Completely Beside Ourselves,24.04,In stock,1,38,1,midium,0
Walk the Edge (Thunder Road #2),32.36,In stock,3,31,1,midium,1
Voyager (Outlander #3),21.07,In stock,5,22,1,midium,1
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,In stock,3,81,1,high,0
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,In stock,2,59,1,low,0
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,In stock,1,49,1,high,0
Under the Banner of Heaven: A Story of Violent Faith,30.0,In stock,1,52,1,midium,0
Two Boys Kissing,32.74,In stock,2,16,1,midium,0
Twilight (Twilight #1),41.93,In stock,2,22,1,high,1
Twenties Girl,42.8,In stock,2,13,1,high,0
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,In stock,1,109,1,high,0
Three-Martini Lunch,23.21,In stock,3,19,1,midium,0
"Thinking, Fast and Slow",21.14,In stock,1,23,1,midium,0
The Wild Robot,56.07,In stock,3,14,1,high,0
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,In stock,3,77,1,low,1
The Undomestic Goddess,45.75,In stock,4,22,1,high,0
The Travelers,15.77,In stock,1,13,1,low,0
The Tipping Point: How Little Things Can Make a Big Difference,10.02,In stock,2,62,1,low,0
The Thing About Jellyfish,48.77,In stock,1,25,1,high,0
The Stand,57.86,In stock,2,9,1,high,0
The Smitten Kitchen Cookbook,23.59,In stock,1,28,1,midium,1
The Silkworm (Cormoran Strike #2),23.05,In stock,5,33,1,midium,1
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,In stock,5,61,1,high,1
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,In stock,4,49,1,high,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,In stock,1,97,1,midium,1
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,In stock,3,54,1,high,1
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,In stock,1,79,1,low,1
The Rest Is Noise: Listening to the Twentieth Century,34.77,In stock,1,53,1,midium,0
The Red Tent,35.66,In stock,5,12,1,midium,0
The Purpose Driven Life: What on Earth Am I Here for?,37.19,In stock,3,53,1,midium,0
